id	tweet	subtask_a
409	@USER Ε ναι, γιατί σήμερα θα έχει κέρδη ο Βαρδινογιάννης και ο μαλακας ο Έλληνας	OFF
9390	#gntmgr η Άννα δεν πρόκειται να γίνει μοντέλο με την καμία. Δε θα την προσλάβει ποτέ κ κανεις με τέτοια συμπεριφορά.	NOT
2422	Ρε παιδιά ψάχνω να βρω την Γωγώ στο Insta και δεν μπορώ! #shoppingstar	NOT
2456	εχετε ξεφύγει ρε μαλακες! Για να την πείτε στη Δουρου αναπαράγετε την φώτο από τα νεκρά κοριτσάκια; σοβαρά τώρα;	OFF
5036	δεν είναι οι μόνο οι γυναικες που χρειάζονται φιλοφρονήσεις. Πείτε στο άντρα σας ότι είναι επίσης μια όμορφη πριγκίπισσα μουλαρες	NOT
1715	Νικολάκη μου λυπάμαι , αλλά δεν είσαι ούτε ο Ντάνος ούτε ο Γκότσης για να είσαι ο νικητης, καλό παιδί αλλά λιγος #survivorgr	NOT
3299	Έχει ξεφύγει η μανδαμ #shoppingstar	NOT
4218	@USER Τεραστιος...πολυ θεαματικος...φοβερη εποχη...ειχαμε αυτους τους δυο...τον Κονορς...τον Νασταζε...στις γυναικες...αλλη κοντρα...η Ναβρατιλοβα με την Εβερτ...	NOT
2523	@USER έλα μπισκόρες να σου πω για τον Γιώργο τον Πούτσο που είχε το περίπτερο στη γωνία απ'το σπίτι μου, με στέλνανε να παίρνω εφημερίδες το 2001, κάθε 3η κουβέντα του ήταν το ΣΤΗΝ ΨΩΛΑ ΜΑΣ, συγχωρέθηκε δυστυχώς, πάνε 7-8 χρόνια τώρα	OFF
10185	Τα ΚΑΠΗ τα έχουν μετονομάσει σε Κέντρα Φιλίας; Γιατί; #kalomesimeraki	NOT
3060	Τι ομορφα που είναι τα μαλλάκια της μικρης #gynaikaxwrisonoma	NOT
1198	Πραγματικά είναι τόσο λίγος που τα διχαστικά μηνύματα του μόνο γέλιο προκαλούν... Είσαι πολύ λίγος...	NOT
2398	Το ενδεχόμενο να δουν ένα παιδοψυχολογο για να δεχτεί το παιδί Οοολες αυτές τις αλλαγές το σκέφτηκαν;#gynaikaxwrisonoma	NOT
1888	@USER Μωρη εισαι αγαμητη; Πιο το προβλημα σου μωρη αλοδαπη! Τι φωβασε μη συκωθουμε και χασετε το βιζι με το γαλα! Τι νωμιζεις οτι κανεις σε φωβατε κανεις μωρη τσοντα!	OFF
1992	-Μέχρι και παιχνίδι της αγόρασα -Τί παιχνίδι; -Καλάσνικοφ... #gynaikaxwrisonoma	NOT
2163	@USER Μετράς κ τα δικά σου ψεύτικα προφίλ ή με τον εαυτό σου είσαι ειλικρινής;	NOT
7972	@USER Ωραίος χώρος για επίδειξη μόδας! Μπράβο επιτέλους είδαμε μόδα! #gntmgr #GNTMgr	NOT
6699	Σοκ που η Σουζάνα δεν έβγαλε και πάλι καλή φωτογραφία. Κανείς μα κανείς δεν το περίμενε. #GNTMgr	NOT
9092	Ξανά διωχτε την Σουζάνα #GNTMgr	NOT
5769	Τη μαλακισμενη τη μεγκυ για ποιον λογο τη φερνουν εκει;τι εχει να πει;#the2nightshow	OFF
9694	-Κάτια πιστεύεις πως η Ελευθερία είναι δυνατή παίκτρια; -Οχι (εμείς) #gntmgr #GNTMgr	NOT
5949	Ως κατηκοος εχω να δηλωσω κρινοντας απο τα λογια μου της των,πολυ φασαρια και κατωμαλια...Τα λογια σε ρομπο αντιστοιχουν πιοτερο απο σε διαολο.	OFF
2311	@USER Δλδ εσύ πιστεύεις ότι όσο παίζεις τον πούτσο τόσο ανεβαίνει η αξία του; Ε μα τι άλλο χρειάζεται για να καταλάβουμε ότι είσαι μαλάκας;	OFF
1013	Νίκο Παππά εισαι εδω...;#Εκλογές2019 #ερχεται_ΚΑΡΑΠΟΥΤΣΑ	NOT
5843	Αναστατωθηκα με την κακογουστη βλαμμενη στο #shoppingstar, γινομαι εξαλλη με τις κακιασμενες στο #gntmgr και θα με αποτελειωσετε κανοντας τα νευρα μου κροσια με το Σεβαστέϊκο στις #AgriesMelisses ;	OFF
7859	Και για να σε δω τώρα πως θα συμμαζέψεις τα σκυλιά που ξεσήκωνες προεκλογικά κ τους έλεγες οτι τους πρόσφυγες του φέρνει ο Τσίπρας κ η Τασία! Θα πνιγείς καριόλη στον προεκλογικό σου βόθρο του λαϊκισμού κ των fake news... #ΝΔ_απατεωνες #νδ_mafia #ΝΔ_θελατε	OFF
4791	Μιλάς με γρίφους γέροντα Λάκη! Καλησπερίζω παιδιάάάάά! #kalomesimeraki	NOT
2793	Αν η Λορειν κατέβει στις εκλογές στην Αγγλία η Μει θα φάει τη σκόνη της.. #ShoppingStar	NOT
1337	@USER Να είσαι καλά Μαριλενα επίσης ευχαριστώ!	NOT
3167	@USER Σύντροφε θά απολογηθείς, γιατί ακούγεται ότι οι επιδοτήσεις δέν πήγαν μόνο στους πρόσφυγες.	NOT
9190	Εν τω μεταξύ και σήμερα έχω κουραστεί να κάνω report και block στους Τούρκους spammers. #gntmgr	NOT
6621	Συγνώμη στο επόμενο ξανά μπαίνει η Σουζάνα ;! Είδαν καλά τα μάτια μ; Πολύ δίκαιο ... #gntmgr	NOT
1449	@USER Εσυ να πας στο διαολο ξεφτιλα	OFF
178	Αλήθεια υπάρχει κόσμος εκτός από τους συγγενείς της σκουλίκοβας που βλέπει αυτό το τσιρκολίκι; #MasterchefGr_xeftiles	OFF
3569	Το πανο της γαϊ-Δουρου το εγραψαν οι μεταφερωμενοι γυφτοι του #ΣΥΡΙΖΑ ;️#ερχεται_ΒΟΙΔΟΠΟΥΤΣΑ #syriza_xeftiles #Βουλη #ερχεται_ΠΟΥΤΣΑ #ευρωεκλογες2019 #Τσιπρα #ερχεται_ΚΑΡΑΠΟΥΤΣΑ #ερχεται Ευρωεκλογες #Τσιπρας Την Κυριακη #εκλογες2019 #Ηρακλειο #ΣΚΑΙ #Κρητη #κουφοντινας	OFF
4079	Γιατί φοράει πάντα καλΤΣόν; Μήπως είναι μασαζοκαλΤΣον; #shoppingstar	NOT
5882	Απόψε στο Συμβούλιο του νησιού #gntmgr	NOT
1397	@USER Η πτώση του τοίχους του Βερολίνου τελικά ήταν προβοκάτσια της Δύσης; Αν δεν παίρνεις μεροκάματο από το κομμα αδερφέ, είσαι για τα σίδερα.	NOT
2460	η γυναίκα να βγάζει πόδι για να καταφέρει αυτό που θέλει; Καλά άκουσα; Αυτές τις εμετικες απόψεις μεταφέρει στα παιδιά της; #shoppingstar	OFF
10286	"""""""Γνωστό μου φαίνεται αυτό το στήθος"""" ΧΑΧΑΧΑΧΑΧΑ ΚΛΑΙΩ #kalytera"""	NOT
2040	Η Μάρθα με τον Φώτη χωριζουν σαν να ήταν ζευγάρι. Εντωμεταξύ μια φορά κοιμήθηκαν μαζί και δυο φάγανε. #GynaikaXwrisOnoma	NOT
9341	Αχ θα τρελαθώ! Διωχτε την πιααααα #gntmgr	NOT
3983	Ζητουσαμε reunion τοσο καιρο κ τωρα που μας το δωσατε, ηρθαν οι περισσοτερες υποψιασμενες κ νομιζω ψιλοξενερωσαμε απ το αποτελεσμα. #ShoppingStar	NOT
8172	από που και ως που είναι αυτά τα outfits harajuku; #gntmgr	NOT
9093	Μια χαρα ηταν η Σπυρουλα ψαχνετε ψυλλους στα αχυρα.... #GNTMgr	NOT
3659	@USER Πόσο θα γούσταρα άτομα σαν τον Θάνο στη ΝΔ και άτομα σαν τον Γιακουμάτο στο διάολο...	OFF
1746	@USER Πές τα Εύα, είσαι παλληκάρι!	NOT
2997	Καργιοληδες άντρες θα μας καταστρέψετε γαμω το στανιο σας	OFF
8081	Εσκεμμένα άφησε μια φράση να βγει ως τίτλος, ενώ όλες οι ακόλουθες φράσεις δίνουν το πραγματικό νόημα της δήλωσης: οι ελάχιστοι πρόσφυγες να επιμεριστούν σε όλους, οι λαθρομετανάστες σπίτι τους. Ο φίλος μας ο Θανάσης όμως το σπίναρε ως περίπου #γιολο_νομπορντερς δεν ήταν τυχαίο.	NOT
8684	Ελα μολις ηρθα. Γιατι εφυγε η Μαρτινα; #gntmgr	NOT
5944	Ας ελπίσουμε να φύγει σήμερα #GNTM #gntmgr #gntm2	NOT
4295	@USER Ετσα καπότα, μην χάνεις το γέλιο σου. Θα σε λουζω ξεφτίλα και εσύ θα γελάς.	OFF
186	Έχω και την αδερφή μου να με παίρνει τέτοια ώρα να μου λέει δε με αφήνουν να μπω στο μαγαζί κανε κάτι ,βρες γνωστό ΜΑΛΙΣΤΑ	NOT
8087	Που να σου τσιμπήσει μάτι το πτηνό, Κάτια.#GNTMgr	NOT
10249	Μπορούμε να ψηφίσουμε κάπου Άννα Μαρία;#gntmgr	NOT
1465	Γιατι μωρε δεν θελετε στην τηλεοραση τα παιδια απο το Βολο πρωτα τον Τιμολεοντα και αργοτερα σιγουρα τη Σπυριδουλα! σατανικη συμπτωση; η απολυτα συνειδητη επιλογη των καναλιων ; μηπως δεν ειναι στραβος ο γυαλος! αλλα αυτοι στραβα αρμενιζουν;#MasterChefGR_Xeftiles #masterchefgr	NOT
6141	ΜΌΝΟ ΕΓΏ ΑΝΥΠΟΜΩΝΩ ΓΙΑ ΝΑ ΈΡΘΕΙ Η ΏΡΑ ΤΟΥ ΠΛΑΤΟΥ; #gntmgr	NOT
31	Μπράβο ξεφτίλες Χαλανδραίοι που βγάλατε Δήμαρχο τον συριζαίο που ερήμωσε το κέντρο. Αφού σας αρέσει να βλέπετε το κέντρο να μετατρέπεται σε στέκι αλητών, μπράβο. Ηλίθιοι!	OFF
5429	#kalytera τώρα θα πει για ΑΠΘ	NOT
5798	Εντάξει, έχασα #kalomesimeraki	NOT
9401	Σου-βλακοθεραπεια #Διαβατα	NOT
3105	#SurvivorGR. Για άλλη μια φορά......τελεία κ παύλα, ΔΑΛΑΚΑ ΕΙΣΑΙ ΚΑΥΛΑ!	OFF
2290	@USER *Πάντως τώρα που τσεκάρισα είναι ακόμα suspended. Πράγμα που αυξάνει σοβαρά τις πιθανοτητες να είναι μόνιμο, ενώ συνήθως, suspend, ειδικά αν είναι από ομαδικά ριπόρτ, είναι 24, άντε 48 ώρες, πράγμα που σημαίνει ότι πρέπει να έχει κάνει ο ίδιος χοντρή μαλακία.	OFF
8230	Υπέροχη η Εμμανουέλα, ότι και να λέει η Ηλιανα και ο Σκουλός. #gntmgr	NOT
2289	Όχι 30 Ιουνίου οι εθνικές ρε μαλάκες έχουμε εξεταστική θα λείπουμεεε	NOT
2061	Ρε υπάρχει κόσμος που κάνει το τεστ «δες ποιο στρουφακι είσαι» δεν υπάρχει σωτηρία... τέλος !	NOT
5113	Δεν βλέπει #gntmgr; ΣΚΑΝΔΑΛΟ!	NOT
8109	Η άλλη η σκυλομούρα η Μαρτίνα, γιατί έφυγε; #gntmgr	OFF
1253	Δεν ξέρω το θέμα αλλά δεν με χαλάει το ντύσιμο. Αυτή πάλι με το τζιν μπουφαν δεν σκάει μέσα στα πλατό; #shoppingstar	NOT
3719	@USER Ο @USER πρέπει να είναι σαν εκείνο το κορόιδο που υπάρχει σε κάθε εταιρεία που κάνει δουλειά πέντε ανθρώπων ενώ οι άλλοι τα ξύνουν και όταν έρθει η ώρα για την προαγωγή αυτός παίρνει αρχιδια.	NOT
8952	Κάτια αν θέλεις να με παντρευτείς είμαι δω!.. #gntmgr	NOT
7862	#kalomesimeraki Σε πολλά τραγούδια πριν τα βάλει ο Αντρέας στο καθένα βίντεο της χρυσης τηλεόρασης τα βρίσκω.	NOT
352	@USER νταξ ..στειλε και απ εδω κανα φραγκο ..μην εισαι μονοφαης	NOT
8324	#gntmgr λίγο μαλακιες τα ρούχα κύριε Μπρατη μου ε;	OFF
7274	Οι μαλακισμενες γιατι γλύφουν τις υπόλοιπες on camera; #gntmgr	OFF
10017	Αδιανόητο αυτο που βλεπω... Πολυ άδικο και για τα δυο κορίτσια. Αξίζουν να συνεχίσουν και οι δυο! Πιστεύω πως την πληρώνουν λόγο του Μιχάλη και ειναι ακομα πιο άδικο.. #XFactorGR	NOT
5750	Από άλλον πλανήτη αυτή #gntmgr	NOT
3557	"""@USER Οι μαύροι μίλησαν για """"πόλεμο"""" δεν άκουγες σήμερα τίποτα; Επίσης ποιος τους είπε ότι οι άσπροι δεν είναι μια χαρά ήρεμοι όπως αυτοί;"""	NOT
146	@USER Όλοι ακούμε τα πάντα οπότε δεν είσαι η μοναδική	NOT
3013	Παγιετα και σνεηκνσκιν; ποια εισαι η Πατουλαινα; #shoppingstar	NOT
515	@USER εισαι γελοιος ρε	OFF
5596	Σημασία δεν έχει πόσες γυναίκες είχες στη ζωή σου. Σημασία έχει σε πόσες χρωστάς ακόμα λεφτά	NOT
4632	"""@USER Προχθές ΕΝΟΜΙΣΕΣ ή ΨΕΥΔΩΣ ΑΝΑΦΕΡΕΙΣ ότι σου είπαν ότι """"το digitization εν Νetflix"""". Όπως συνηθίζεις να κάνεις. Εμείς, όντως, είμαστε μία οργανωμένη μειοψηφία (3000 ανθρώπων). Εσύ τί είσαι (ο """"Μέγας Κριτής της Κανονικότητας"""", ο """"Κυρίαρχος του Σύμπαντος"""");"""	NOT
7934	Κέισι με έπιασε ένα μικρός ισπανικός #gntmgr	NOT
327	Το να είσαι άθεος ή ομοφυλόφιλος ή και τα δύο, δεν σε κάνει προοδευτικό. Παράδειγμα ο Βαλλιανάτος που κατεβαίνει με τα δεξιά γκρουπούσκουλα της Φιλελεύθερης Συμμαχίας.	NOT
6740	Ανίδεη τσοκαρία.. που νομίζεις οτι είσαι ; στο χωριό σου..; Έχεις κοντζάμ σχεδιαστή μπροστά σου βλαχάρα Μπιθουλιώτισα.. (Μαρτίνα 2019) #gntmgr	OFF
2165	"""Και τις 4 φορές που βαθμολόγησε guest κριτής ο Μανώλης ήταν καλύτερος... Μόνο χθες η Σπυριδούλα ήταν καλύτερη του Μάνου και μάλιστα με """"+3""""... Γκουχου Γκουχου #MasterChefGR_Xeftiles #MasterChefGR"""	NOT
10139	Επαναστατική αυτοάμυνα και τ αρχιδια μας κουνηθηκαν Ρε αλλάξτε εκεί το νομο,να τελειώνουμε Μπήκε μέσα λεει ξαναβγήκε θα ξαναμπεί και θα ξαναβγεί να κάνει τα ίδια	NOT
503	@USER μαζι νομιζω απλα χωρια αντρες γυναικες οπως κανουν και τωρα	NOT
1269	@USER Ε αφού για παραπάν δεν είσαι	NOT
6208	@USER Μιλάμε ο συγκεκριμένος είναι μαλακας ολικής. Τον ειχα σερβίρει στο Κυτταρο κ δεν άφησε ούτε τον ιδρώτα του, κατά τα αλλά σέβεται τον εργαζόμενο.	OFF
1675	Οι πιο άθλιες και πιο αντικοινωνικές ερωτήσεις που μπορείς να κανείς:Ποσο χρονων είσαι;Ποσα κιλά είσαι;,γιατί δεν έχεις παντρευτεί;γιατί δεν εχεις παιδιά;δεν τα ρωτάμε ποτε αυτά.	NOT
9787	Καγιά: Βρεθήκαμε σε ένα τέλμα. Εγώ: Γιατί είστε ΤΕΛΜΑ ηλίθιοι. #GNTMgr	NOT
6743	Κατια σαρτα γαμησου!#gntmgr	OFF
5903	Οι κριτες ενδιαφερονται για το μπουλινγκ μονο αν ειναι να τις παρουν στο σπιτι και να κλαψουν λιγο #gntmgr	NOT
8776	#WayDownWeGo Παπατσάκωνα σκίζεις! #TeamMastora #XFactorGR	NOT
5702	Τη φάση που η Ζενεβιέβ ανοίγει το στόμα και μοιάζει με το scream, την παίξανε; #gntmgr	NOT
6529	"""Ακολουθεί ανέκδοτο: """"Ήταν σε ένα κελί ο Μιχαλολιάκος, ένας Άναρχικός, ένας Νιγηριανός κι ένας Πακιστανός."""" . . . . ."""	NOT
1250	@USER Τι να πονάει βρεεεεεεεε...Που μπαίνεις και ψάχνεις τα προφίλ με ημερομηνίες; Ή αργόσχολος είσαι ή κάπου αποσκοπείς.... ;Άσε μας στην ησυχία μας..Ποιος φυσιολογικός άνθρωπος το κάνει αυτό;τε γεια αλλά είσαι στον υπολογιστή μου print screen...Αλλά έχω και ζωή δική μου. Όταν θα..	NOT
3592	Τατουάζ = λέπρα τάδε έφη κύριος Αραπαντζης #giatinparea	OFF
1262	@USER Δεν το λέει ο ΣΥΡΙΖΑ. Η εμπειρία μας από τη διακυβέρνηση της Ν.Δ το λέει. Όσο για το αν έπρεπε να πάνε κάποιοι φυλακή, να σου υπενθυμίσω ότι αυτή την αρμοδιότητα την έχει η Δικαιοσύνη και όχι η κυβέρνηση. Η κυβέρνηση ως όφειλε ανέδειξε τα σκάνδαλα, η δικαιοσύνη τι κάνει;	NOT
2133	Τόσο χαζή γραμμή μόνο ο Πολάκης θα μπορούσε να δώσει, δεν πιστεύω ότι είναι του Αλέξη. Δεν είναι διψήφια η διαφορά! Είσαι δηλαδή 2,04 κ σου λέει, έλα μωρέ δεν είσαι ψηλός δεν είσαι καν 2,05! Οκ. Αλλά εδώ έκαναν το ΟΧΙ του δημοψηφίσματος ΝΑΙ τι περιμένουμε; #ekloges2019	NOT
1526	@USER Πλάκα κάνεις; Τέρμα τυχερός είσαι! Βουρ με τα μουτρα	NOT
1861	@USER τα έχουν πει αυτά οι γκοιν θρου εδώ και χρόνια μαζί μου ασχολείσαι πόσο μαλάκας είσαι αν όντως δεν γουστάρεις σου δείχνω τι να πάρεις	OFF
6282	Ρε ζενεβιεβ και σημερα κούκλα εισαι μωρη #GntmGr	NOT
4552	@USER Εσύ είσαι παντρεμένη	NOT
125	"""η επιτομή του ανθρώπινου εκφυλισμού... κάντε ελεύθερα εμετό, !ΠΡΟΣΟΧΗ! επιλέξτε """"χρυσαφί"""" χρώμα το αντικείμενο που θα ρίξετε """"ρουκέτες"""" εμετού τύπου εξορκιστή, μην σας πουν ότι ανήκετε και στην κατηγορία των """"αδυνάτων"""". #ΝΔ_ξεφτιλες #Vomiting"""	OFF
8772	Μελι μας ταισες Βικυ μου #gntmgr	NOT
9525	Τι κακομοιρια Θεε μου ολοι να πασχιζουν να κανουν τα θυματα, που πηγε η εποχη που μαλωνανε για το ποιος εχει πιο βαρια αρχιδια	OFF
9521	#gntmgr Ποιες τριτοδευτερες δεν θα φορεσουν μπρατυς μπλου το καλοκαιρι; για πειτε μου ΤΩΡΑ	OFF
8211	Έναν δικός της να μαζέψει αυτό το σίχαμα δεν υπάρχει; Άντε στο διάολο πια.	OFF
7218	Ειδωλο η Τζουτζουμπι! #kalomesimeraki	NOT
2726	#gynaikaxwrisonoma Η Μαρινα ειναι ιδια η κατια χαχαχ ΕΥΓΕ!	NOT
3904	@USER Αποτι εχω καταλαβει απο το #shoppingstar δεν τα βγαζετε και ποτε. Ειναι ολ σιζονς...	NOT
9198	Δεν βουλώνεις το δικό σου στόμα πρώτα; Λέω εγώ τώρα... #gntmgr	OFF
3893	Αν δεν το θέλεις Σοφία, δωστο σε μένα #GynaikaXwrisOnoma	NOT
1587	Το 2014 ο #ΣΥΡΙΖΑ πηρε 26%, και μετα απο 4 χρονια διακυβερνησης επεσε μονο 2 μοναδες. Καμια τιμωρια σε #Τσιπρα , αυτα ειναι δημοσιογραφικες αρλουμπες, αν ισχυε θα'χαμε ανοδο κ αλλων μικρων κομματων. Ο κοσμος θελει ΝΔΠΑΣΟΚ πισω, ηταν θετικη ψηφος σε στυλ 'μας λειψατε'. Ξεφτιλα.	NOT
1828	Ρωτάει η δασκάλα τον Τοτό στο -Τοτέ πες μας ποιά είναι τα στοιχεία της φύσης; -Το νερό, η φωτιά, η γη ο αέρας και οι πουτάνες. -Μα τι ειναι αυτα που λες; Ποιός σου είπε τέτοια πράγματα; -Η μαμά μου κυρία, λέει, ότι ο μπαμπάς όταν πηγαίνει στις πουτάνες βρίσκεται στο στοιχείο του!	OFF
6105	#gntmgr Η Κάτια δεν θέλει να ψοφισει η κατσίκα του γείτονα, αλλά ο γείτονας.	OFF
7281	Ποτε πρόλαβε ο μαλάκας ο Κυπραίος και τα έβαλε στη τάξη!; #AgriesMelisses	NOT
4525	@USER ρε Πετράν, το ξέρεις ότι παίζει να είσαι μετενσάρκωση του Γκάντι;	NOT
2848	Αν χάσεις με μεγαλύτερη διαφορά, σύμφωνα με το σκεπτικό αυτό, εισαι σίγουρα Γελοία κ ξεφτίλα κυβέρνηση. Οσονούπω, η απάντηση! Καλή καρδιά.	NOT
554	"""Και μόνα με αυτά τα λόγια ο Κ. Μητσοτάκης και το κόμμα των #νδ_ξεφτίλες έχουν μπλέξει. Θεωρούν το 24% του λαού """"αιχμάλωτους πολέμου"""", φτύστε ελεύθερα και διαδώστε στο κόσμο τι εστί η κάστα της ΝΔ. Μετά μιλήστε για διχαστικό λόγο, ε, @USER ; #skai_xeftiles #εκλογές"""	NOT
8654	Αλιεν η αναγέννηση #GNTMgr	NOT
7236	Τέτοια Χαρά που έφυγε η Σουζάνα είχα να νιώσω από τότε που έφυγε ο χανταμπακης από το survivor #gntmgr	NOT
1241	Κι εγω δεν τις φοραω τις ψαθινες τσαντες...Προτιμω να τις κραταω.. #shoppingstar	NOT
5680	Καταρχην ξερουν τα ξεχωριζουν τα πουλια; #gntmgr	NOT
3717	@USER Ρε Τάσο σού έχω μια ιδιαίτερη συμπάθεια γιατί δεν είσαι τσιράκι, τώρα είναι σοβαρά πράγματα αυτά πού γίνονται σε μεγάλη ομάδα, για εμένα και για πολλούς άλλους, αυτός ό κύκλος τού Μανολο μαζί με τούς παίχτες έχει κλείσει, και πρέπει να έρθουν άλλοι παίχτες και προπονητής.	NOT
2497	συγνωμη ρε μαλακες ειναι τα ροδακινα στην κοζανη αμαζωχτα κι ακομα μαλακιζεστε εδω μεσα	OFF
2440	Εσύ γωγω που ακολουθείς την μόδα της οικογένειας φλωρηνιωτη #ShoppingStar	NOT
8334	Ασημινα δεν μπορώ να βλέπω την φάτσα σου αληθεια #gntmgr	OFF
4855	#gntmgr η κούκλα του Chucky απόψε η Άννα Μαρία	NOT
3076	"""""""Εχω καθυστερηση..."""" ισως η πιο σοφη κουβεντα που εχει ειπωθεί ποτε από παικτρια του #shoppingstar"""	OFF
611	4 και ΣΗΜΕΡΑ για να δούμε πως είναι να είσαι Αριστερός και να συνειδητοποιείς πως οι ΠΑΠΑΝΤΖΕΣ και τα ΦΟΥΜΑΡΑ, που πούλαγες από μικρός στα πεζοδρόμια, με την ίδια ορμή που σ'έφεραν προσωρινά στην εξουσία, με την ίδια ορμή θα σε ΓΚΡΕΜΙΣΟΥΝ!	OFF
6332	Tο μέλλον του κυρίου Μπογδάνου προδιαγράφεται ως “γραφικού” και “ακραίου” εντός του κόμματος, ενώ στην ουσία θα είναι εκείνος που περιμαζεύει ό,τι περιμαζεύεται απ’ τη φυλλορροή των ψήφων. #νδ_θελατε Άρθρο στο	NOT
7921	Έχασα επεισόδια; Ο γιδογάμης πάλι το παίζει παλικαρας; Ίσα μωρή γαλότσα.	OFF
564	Κάποια ελεύθερα ΣΚ είναι πουτανες	OFF
3351	#shoppingstar άμα σού έλειψε κυρά Βίκυ μού πάρτη σπίτι σού να την καμαρώνεις..εμείς τι σου φταίμε	NOT
1447	@USER Αυτο το αρχιδι δεν ηταν ποτε ολων των Ελλήνων ηταν των πολλών ,μερικών δηλαδη , γι'αυτο πήρατε και απο εδω και περα θα παίρνετε και τα αρχιδια ολων μας .	OFF
9964	Άντε γαμήσου ρε Τσόχο και εσύ, λες και βλέπουν μόνο οπαδοί της Liverpool το γαμωκάναλό σας. #avlliv	OFF
853	Αν η δικαιοσύνη τρομοκρατείται από κάτι ελεεινους κουφοντινες τοτε γαμηθηκε καθε έννομη τάξη Ο Δημήτρης Κουφοντίνας σταματά την απεργία πείνας μέσω του χρήστη @USER	OFF
8671	Πω ρε φίλε την κατακρεουργησαν την Adele σήμερα #XFactorGR	NOT
4224	Εθνικη μου μανα σημερα μου την επεσε ενας Καναδος στο δρομο. Του ειπα να ψαξει για εσενα. ΜΗΝ ΦΥΓΕΤΕ ΚΥΡΙΑ ΜΟΥΜΟΥΡΗ ΜΟΥ @USER #GynaikaXwrisOnoma	NOT
3070	@USER Πονάς ακόμα για την #10ποντη και στις #7_Ιουλιου σε #ερχεται_μεγαλυτερη #ΣΥΡΙΖΑ_ξεφτιλες #απατεωνες	NOT
2370	@USER Ναι θα είχε, με το κάθε μαλακισμένο πια!	OFF
9288	Η Αλεξίου τελικά το έστειλε το στεφάνι... #XFactorGR	NOT
10132	λέει η Σουζάνα της δίνεται μια δεύτερη ευκαιρία που μπήκε ξανά στο σπίτι. δοκίμασε καλύτερα 35η ευκαιρία. #gntmgr	NOT
5122	Αννα: Δεν εχουμε τιποτα να πουμε Το εκανες παραπανω φορες με την Ηλεκτρα και πρεπει να ισοφαρισω #erwtasmeta	NOT
843	Ας το αφησω καπου εδω για την σημερινη #shoppingstar	NOT
7735	Έτσι κατέστρεψε την 5αδα φωτιά #gntmgr	NOT
8353	@USER Από μένα είναι στο μουνι μου και πάμε παρακάτω	OFF
7046	@USER σου έχω καλύτερη λύση,να μεταναστεύσεις εσύ και οι όμοιοι σου και να εγκαταστήσουμε πρόσφυγες,ανταλλαγή πληθυσμών λέγεται	NOT
4615	Η αμηχανη στιγμη που η Λορειν μιλαει πιο σωστα ελληνικα απο τη Γωγω #ShoppingStar	NOT
1366	@USER Είσαι σίγουρη ότι αυτό που «κοιτάς» είναι το «ήθος» του; Όλοι σχεδόν οι βουλευτές του «μετακόμισαν» χωρίς καν να αντιληφθούν;!	NOT
10155	#gntmgr Kαγια για Σουζαννα προσγειώνεστε πανω στο σκαμνάκι κλαιω	NOT
2541	Ρια για μενα ειναι σαν να το χεις παρει εσυ...εισαι μαχητρια #survivorgr	NOT
