,0
183,ዲፕሎማ
184,ኢንዱስትሪ
185,ሂደት
186,ችሎት
187,ደረጃ
188,ቃለ
189,ሜትር
190,ጀመሩ
191,መሩ
192,ቲክ
193,ሚኒስትር
194,አፍሪካ
195,ሲኖዶስ
196,የቤተ
197,ልዩ
198,በሰሜን
199,በመጀመሪያ
200,ስፍራ
201,ምሳሌ
202,የመጀመሪያ
203,አውሮፓ
204,የከተማ
205,ባለሙያዎች
206,ዚሁ
207,መኮንን
208,ስተካከል
209,እምነ
210,የተፈጥሮ
211,በቅርብ
212,በተለያዩ
213,ሁኔታዎች
214,በዚሁ
215,፬
216,ማህበር
217,ዲግሪ
218,መረጃዎች
219,ጠናከር
220,ድንበር
221,ህብረት
222,ከሌሎች
223,በርካታ
224,መንግስታት
225,ሳይንስ
226,መንገዶች
227,መብቶች
228,ያችን
229,አክ
230,ወላ
231,ኮሚቴ
232,መግባባት
233,ባለስልጣናት
234,የስራ
235,ቋቋም
236,ያዊ
237,–
238,ጥቅም
239,—
240,አዳዲስ
241,ከተሞች
242,ድል
243,እነሆ
244,ይቻላል
245,ጠቅላላ
246,ረቱ
247,ክብር
248,ረጋገጥ
249,የአንድ
250,ቀውስ
251,ልዩ
252,አቋ
253,አምላክ
254,አስገራሚ
255,ደረጉ
256,ቤቱ
257,አርበኞች
258,ነቶች
259,ጨምሮ
260,ቀጣይ
261,አስታው
262,፯
263,ለመስጠት
264,፳
265,ስላሴ
266,ኮሚሽን
267,ቆጣጠር
268,ሀገራት
269,ባለፉት
270,ተከትሎ
271,የቆየ
272,ራዊ
273,ከአዲስ
274,ዲሲ
275,ዋሽንግተን
276,ሳዊ
277,ስቱ
278,ቅዱስ
279,መሰረታዊ
280,ታላቅ
281,ዜጎች
282,ቨ
283,ጉባኤ
284,እርዳታ
285,ተጨማሪ
286,የመገናኛ
287,ሊቀ
288,ክፍሎች
289,የትምህርት
290,የደቡብ
291,ዎት
292,ህብረተሰቡ
293,ጓደ
294,አፍሪካ
295,ክልላዊ
296,ሳተፉ
297,ልማት
298,አንዱ
299,ቐ
300,ቨር
301,የአስቸኳይ
302,ጠናቀቀ
303,ስቴትስ
304,ዩናይትድ
305,ፖሊሲ
306,ፓትርያርክ
307,ኼ
308,ተላለፈ
309,በመስጠት
310,የልማት
311,አንቀፅ
312,ክፍያ
313,አስቸጋሪ
314,አማካኝነት
315,በተደጋጋሚ
316,ዘገባ
317,ስራዎች
318,የሚሉ
319,ቛ
320,በእርግጥ
321,አነስተኛ
322,የፀጥታ
323,ልምድ
324,ይመልከቱ
325,አቅርቦ
326,!!!!
327,መመሪያ
328,አበበ
329,ታወቁ
330,ሙስና
331,ዯ
332,ፓርቲው
333,ቀጠሮ
334,፲
335,፰
336,፻
337,፮
338,ሚከተለው
